trace file for the simulation
format of the file
<event> <time> <item id> <server status> <queue size>

a	0.170789	1	0	0
s	0.170789	1	1	0
a	0.185475	2	1	0
a	0.206455	3	1	1
d	0.224405	1	1	2
s	0.224405	2	1	1
d	0.239613	2	1	1
s	0.239613	3	1	0
d	0.273795	3	0	0
a	0.353148	4	0	0
s	0.353148	4	1	0
a	0.391453	5	1	0
a	0.443776	6	1	1
d	0.454087	4	1	2
s	0.454087	5	1	1
a	0.486335	7	1	1
a	0.580744	8	1	2
a	0.624719	9	1	3
a	0.660607	10	1	4
a	0.716665	11	1	5
a	0.729748	12	1	6
a	0.762734	13	1	7
a	0.763637	14	1	8
a	0.816521	15	1	9
a	0.831962	16	1	10
a	0.895114	17	1	11
a	0.900093	18	1	12
a	0.903565	19	1	13
a	0.913403	20	1	14
a	0.982843	21	1	15
d	0.990764	5	1	16
s	0.990764	6	1	15
d	1.08862	6	1	15
s	1.08862	7	1	14
a	1.12302	22	1	14
a	1.12472	23	1	15
a	1.15047	24	1	16
a	1.19446	25	1	17
a	1.198	26	1	18
a	1.25053	27	1	19
a	1.3171	28	1	20
a	1.32735	29	1	21
a	1.38787	30	1	22
a	1.43919	31	1	23
a	1.45238	32	1	24
a	1.47955	33	1	25
a	1.51511	34	1	26
d	1.56204	7	1	27
s	1.56204	8	1	26
a	1.59282	35	1	26
d	1.63041	8	1	27
s	1.63041	9	1	26
a	1.6311	36	1	26
d	1.64038	9	1	27
s	1.64038	10	1	26
a	1.71539	37	1	26
a	1.71607	38	1	27
d	1.72558	10	1	28
s	1.72558	11	1	27
d	1.73868	11	1	27
s	1.73868	12	1	26
d	1.75832	12	1	26
s	1.75832	13	1	25
a	1.79428	39	1	25
d	1.81245	13	1	26
s	1.81245	14	1	25
a	1.82881	40	1	25
a	1.84252	41	1	26
a	1.84876	42	1	27
d	1.88684	14	1	28
s	1.88684	15	1	27
a	1.89995	43	1	27
a	1.90555	44	1	28
a	1.91206	45	1	29
d	1.94327	15	1	30
s	1.94327	16	1	29
a	1.97246	46	1	29
a	2.03946	47	1	30
d	2.0433	16	1	31
s	2.0433	17	1	30
a	2.09282	48	1	30
d	2.12858	17	1	31
s	2.12858	18	1	30
a	2.15538	49	1	30
a	2.206	50	1	31
a	2.21204	51	1	32
d	2.22667	18	1	33
s	2.22667	19	1	32
d	2.24417	19	1	32
s	2.24417	20	1	31
a	2.24728	52	1	31
a	2.24961	53	1	32
d	2.31331	20	1	33
s	2.31331	21	1	32
d	2.31385	21	1	32
s	2.31385	22	1	31
a	2.3215	54	1	31
d	2.36962	22	1	32
s	2.36962	23	1	31
a	2.38122	55	1	31
a	2.41401	56	1	32
d	2.43286	23	1	33
s	2.43286	24	1	32
d	2.45004	24	1	32
s	2.45004	25	1	31
a	2.46074	57	1	31
a	2.4839	58	1	32
a	2.53194	59	1	33
a	2.57123	60	1	34
a	2.58796	61	1	35
a	2.59817	62	1	36
a	2.6702	63	1	37
d	2.67084	25	1	38
s	2.67084	26	1	37
d	2.69238	26	1	37
s	2.69238	27	1	36
d	2.70832	27	1	36
s	2.70832	28	1	35
a	2.76929	64	1	35
a	2.78113	65	1	36
d	2.86412	28	1	37
s	2.86412	29	1	36
a	2.86615	66	1	36
a	2.88192	67	1	37
a	2.88761	68	1	38
a	2.95945	69	1	39
a	2.97602	70	1	40
a	3.03999	71	1	41
a	3.05656	72	1	42
d	3.08147	29	1	43
s	3.08147	30	1	42
a	3.09835	73	1	42
a	3.10763	74	1	43
d	3.13632	30	1	44
s	3.13632	31	1	43
a	3.14501	75	1	43
a	3.15227	76	1	44
d	3.20481	31	1	45
s	3.20481	32	1	44
a	3.20887	77	1	44
a	3.20897	78	1	45
a	3.22461	79	1	46
a	3.2806	80	1	47
a	3.32781	81	1	48
d	3.37722	32	1	49
s	3.37722	33	1	48
d	3.38835	33	1	48
s	3.38835	34	1	47
a	3.39503	82	1	47
a	3.41283	83	1	48
a	3.46421	84	1	49
a	3.48011	85	1	50
a	3.51255	86	1	51
a	3.52196	87	1	52
d	3.5365	34	1	53
s	3.5365	35	1	52
a	3.57372	88	1	52
a	3.58549	89	1	53
d	3.63455	35	1	54
s	3.63455	36	1	53
a	3.65586	90	1	53
a	3.70628	91	1	54
a	3.71228	92	1	55
a	3.73904	93	1	56
d	3.73917	36	1	57
s	3.73917	37	1	56
a	3.74339	94	1	56
a	3.75442	95	1	57
a	3.91208	96	1	58
d	3.92948	37	1	59
s	3.92948	38	1	58
d	3.95901	38	1	58
s	3.95901	39	1	57
d	4.14552	39	1	57
s	4.14552	40	1	56
d	4.39892	40	1	56
s	4.39892	41	1	55
d	4.4434	41	1	55
s	4.4434	42	1	54
d	4.46324	42	1	54
s	4.46324	43	1	53
d	4.52393	43	1	53
s	4.52393	44	1	52
d	4.61334	44	1	52
s	4.61334	45	1	51
d	4.68979	45	1	51
s	4.68979	46	1	50
d	4.87775	46	1	50
s	4.87775	47	1	49
d	4.99363	47	1	49
s	4.99363	48	1	48
d	4.9994	48	1	48
s	4.9994	49	1	47
d	5.20557	49	1	47
s	5.20557	50	1	46
d	5.22979	50	1	46
s	5.22979	51	1	45
d	5.29431	51	1	45
s	5.29431	52	1	44
d	5.3438	52	1	44
s	5.3438	53	1	43
d	5.34829	53	1	43
s	5.34829	54	1	42
d	5.61103	54	1	42
s	5.61103	55	1	41
d	5.67934	55	1	41
s	5.67934	56	1	40
d	5.82759	56	1	40
s	5.82759	57	1	39
d	5.83593	57	1	39
s	5.83593	58	1	38
d	5.89551	58	1	38
s	5.89551	59	1	37
d	6.1122	59	1	37
s	6.1122	60	1	36
d	6.13535	60	1	36
s	6.13535	61	1	35
d	6.20283	61	1	35
s	6.20283	62	1	34
d	6.24021	62	1	34
s	6.24021	63	1	33
d	6.30329	63	1	33
s	6.30329	64	1	32
d	6.39614	64	1	32
s	6.39614	65	1	31
d	6.43069	65	1	31
s	6.43069	66	1	30
d	6.66033	66	1	30
s	6.66033	67	1	29
d	6.70764	67	1	29
s	6.70764	68	1	28
d	6.72235	68	1	28
s	6.72235	69	1	27
d	6.79339	69	1	27
s	6.79339	70	1	26
d	6.82251	70	1	26
s	6.82251	71	1	25
d	6.91925	71	1	25
s	6.91925	72	1	24
d	7.02222	72	1	24
s	7.02222	73	1	23
d	7.12051	73	1	23
s	7.12051	74	1	22
d	7.32329	74	1	22
s	7.32329	75	1	21
d	7.43421	75	1	21
s	7.43421	76	1	20
d	7.72261	76	1	20
s	7.72261	77	1	19
d	7.73921	77	1	19
s	7.73921	78	1	18
d	7.7538	78	1	18
s	7.7538	79	1	17
d	7.8054	79	1	17
s	7.8054	80	1	16
d	7.83803	80	1	16
s	7.83803	81	1	15
d	7.85382	81	1	15
s	7.85382	82	1	14
d	8.27595	82	1	14
s	8.27595	83	1	13
d	8.54784	83	1	13
s	8.54784	84	1	12
d	8.65544	84	1	12
s	8.65544	85	1	11
d	8.75553	85	1	11
s	8.75553	86	1	10
d	8.80478	86	1	10
s	8.80478	87	1	9
d	8.82732	87	1	9
s	8.82732	88	1	8
d	8.8735	88	1	8
s	8.8735	89	1	7
d	8.96453	89	1	7
s	8.96453	90	1	6
d	9.10169	90	1	6
s	9.10169	91	1	5
d	9.11734	91	1	5
s	9.11734	92	1	4
d	9.3889	92	1	4
s	9.3889	93	1	3
d	9.44905	93	1	3
s	9.44905	94	1	2
d	9.59797	94	1	2
s	9.59797	95	1	1
d	9.61928	95	1	1
s	9.61928	96	1	0
d	9.81975	96	0	0
